"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","169.36","168.55","170.25","168.55","-","0.58%"
"Dec 28, 2018","168.38","167.50","168.90","167.32","-","0.54%"
"Dec 27, 2018","167.48","167.45","169.19","166.82","-","0.04%"
"Dec 26, 2018","167.42","166.62","167.45","166.23","-","0.48%"
"Dec 25, 2018","166.62","166.45","166.66","166.41","-","-0.27%"
"Dec 24, 2018","167.07","167.69","167.71","166.17","-","-0.50%"
"Dec 21, 2018","167.91","168.19","168.69","165.99","-","-0.09%"
"Dec 20, 2018","168.06","169.78","169.78","167.62","-","-1.03%"
"Dec 19, 2018","169.81","170.31","170.77","169.60","-","-0.17%"
"Dec 18, 2018","170.10","172.27","172.27","170.10","-","-1.28%"
"Dec 17, 2018","172.30","173.20","173.49","172.11","-","-0.54%"
"Dec 14, 2018","173.24","175.99","175.99","172.82","-","-1.46%"
"Dec 13, 2018","175.81","174.25","176.16","174.13","-","1.01%"
"Dec 12, 2018","174.05","171.62","174.68","171.62","-","1.50%"
"Dec 11, 2018","171.47","170.83","172.14","170.74","-","0.33%"
"Dec 10, 2018","170.91","172.96","172.96","170.31","-","-1.29%"
"Dec 07, 2018","173.14","173.69","174.67","172.88","-","-0.28%"
"Dec 06, 2018","173.63","177.98","177.98","172.84","-","-2.46%"
"Dec 05, 2018","178.00","180.62","180.62","177.64","-","-1.52%"
"Dec 04, 2018","180.75","181.30","181.73","180.28","-","-0.19%"
"Dec 03, 2018","181.09","176.37","181.58","176.37","-","2.73%"
"Nov 30, 2018","176.28","175.55","176.62","175.39","-","0.49%"
"Nov 29, 2018","175.42","176.52","177.95","175.12","-","-0.57%"
"Nov 28, 2018","176.42","173.80","176.53","173.73","-","1.51%"
"Nov 27, 2018","173.79","173.97","174.09","172.65","-","-0.07%"
"Nov 26, 2018","173.92","171.03","174.07","171.03","-","1.65%"
"Nov 23, 2018","171.10","172.12","172.28","170.63","-","-0.56%"
"Nov 22, 2018","172.07","172.12","172.93","171.69","-","0.01%"
"Nov 21, 2018","172.05","170.51","172.44","168.81","-","0.83%"
